firstname	commonname	playerjerseyname	surname	playerid
Vinícius Favero	Vinícius Taquini	Vinícius	Taquini	4586
Anderson	Para	Para	Ferreira da Silva	4587
Cleiton	Cleiton	Cleiton	Santana dos Santos	4588
João Paulo	João Paulo	João Paulo	Siqueira Ribeiro	4589
Giovanni Aparecido	Giovanni	Giovanni	Adriano dos Santos	4590
Paulo Henrique	Dodô	Dodô	Athanazio	4591
Juliano Alexandre	Juliano	Juliano	Borges	4592
Alisson Augusto	Alisson Augusto	Alisson Augusto	da Silva Nascimento	4593
Daniel	Daniel	Daniel	de Carvalho	4594
Guilherme Henrique	Guilherme	Guilherme	Marcello Bernadino	4595
Wellington	Wellington	Wellington	Silvano Alves	4596
Luiz Antônio	Luiz Antônio	Luiz Antônio	de Souza Soares	4597
André Felipe	Felipinho	Felipinho	de Almeida Santos	4598
Hugo Henrique	Hugo Henrique	Hugo Henrique	Nogueira de Souza	4599
Reginaldo de Lima	Reginaldo	Reginaldo	Nunes Junior	4600
Tallyson Dias	Tallyson	Tallyson	Larry Gurgel	4601
Octavio	Octavio	Octavio	Franchini Metzker	4602
Matheus	Matheus Oliveira	Matheus Oliveira	Oliveira Santos	4603
Lucas	Lucas Vital	Lucas Vital	Vital da Silva	4604
Pedro Henrique	Pedro Rinaldi	Pedro Rinaldi	Rinaldi	4605
Matheus	Matheus Cunha	Matheus Cunha	Cunha Queiroz	4606
Luíz Henrique	Negueba	Negueba	Soares Firmino	4607
Lucas	Belezi	Belezi	Belezi Barbosa	4608
Walfrido Lourenço	Walfrido	Walfrido	Alves de Araujo	4609
Francisco Everton	Everton Bala	Everton Bala	Mota de Castro	4610
Iago Teodoro	Iago	Iago	da Silva Nogueira	4611
Guilherme	Guilherme Nunes	Guilherme Nunes	Nunes da Silva	4612
Diego	Diegão	Diegão	Damasceno dos Santos	4613
Kayke David	Kayke David	Kayke David	Pereira	4614
Patrick da Silva	Patrick	Patrick	Ferreira Souza	4615
Matheus Victor	Matheus Rocha	Matheus Rocha	de Araujo Rocha	4616
Allan	Allan Dias	Allan Dias	Monteiro Dias	4617
Paulo Sérgio	Paulinho	Paulinho	de Oliveira	4618
Werton	Werton	Werton	de Almeida Rego	4619
Gleyson	Gleyson	Gleyson	García de Oliveira	4620
